SS,YYYY,MM,DD,HR,MIN,mm/dd/yyy,JULIAN,WEEK,StartTime,Sunrise_Time,JDY_GSS,NUM_DAYS_GSS,MIN_SUN
CL:C-001-2:1,2015,6,23,7,26,2015-06-23,174,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2016,5,31,9,41,2016-05-31,151,NA,9:41:00 AM,NA,NA,NA,NA
CL:C-001-2:1,2016,6,20,7,37,2016-06-20,171,NA,7:37:00 AM,NA,NA,NA,NA
CL:C-001-2:1,2016,6,28,10,9,2016-06-28,179,NA,10:09:00 AM,NA,NA,NA,NA
CL:C-001-2:1,2017,6,5,5,15,2017-06-05,155,21,NA,NA,NA,NA,NA
CL:C-001-2:1,2017,6,22,5,15,2017-06-22,172,23,NA,NA,NA,NA,NA
CL:C-001-2:1,2017,7,5,8,24,2017-07-05,185,25,NA,NA,NA,NA,NA
CL:C-001-2:1,2018,6,15,10,14,2018-06-15,165,22,NA,NA,NA,NA,NA
CL:C-001-2:1,2018,6,19,9,21,2018-06-19,169,23,NA,NA,NA,NA,NA
CL:C-001-2:1,2018,6,30,9,26,2018-06-30,180,24,NA,NA,NA,NA,NA
CL:C-001-3:1,1993,5,19,8,22,1993-05-19,139,21,1900-01-00,1/0/1900,112,27,184
CL:C-001-3:1,1993,6,7,7,19,1993-06-07,158,24,1900-01-00,1/0/1900,112,46,143
CL:C-001-3:1,1993,6,17,5,49,1993-06-17,168,25,1900-01-00,1/0/1900,112,56,56
CL:C-001-3:1,1993,6,28,8,8,1993-06-28,179,27,1900-01-00,1/0/1900,112,67,192
CL:C-001-3:1,1994,5,19,8,29,1994-05-19,139,21,1900-01-00,1/0/1900,112,27,190
CL:C-001-3:1,1994,5,30,9,20,1994-05-30,150,23,1900-01-00,1/0/1900,112,38,256
CL:C-001-3:1,1994,6,10,5,45,1994-06-10,161,24,1900-01-00,1/0/1900,112,49,50
CL:C-001-3:1,1994,6,16,8,53,1994-06-16,167,25,1900-01-00,1/0/1900,112,55,240
CL:C-001-3:1,1994,6,27,5,45,1994-06-27,178,27,1900-01-00,1/0/1900,112,66,50
CL:C-001-3:1,1995,5,18,5,43,1995-05-18,138,20,1900-01-00,1/0/1900,112,26,22
CL:C-001-3:1,1995,5,30,5,37,1995-05-30,150,22,1900-01-00,1/0/1900,112,38,33
CL:C-001-3:1,1995,6,9,9,16,1995-06-09,160,23,1900-01-00,1/0/1900,112,48,261
CL:C-001-3:1,1995,6,20,5,26,1995-06-20,171,25,1900-01-00,1/0/1900,112,59,33
CL:C-001-3:1,1995,6,30,7,32,1995-06-30,181,26,1900-01-00,1/0/1900,112,69,155
CL:C-001-3:1,1996,5,19,8,27,1996-05-19,140,21,1900-01-00,1/0/1900,112,28,189
CL:C-001-3:1,1996,5,30,7,40,1996-05-30,151,22,1900-01-00,1/0/1900,112,39,157
CL:C-001-3:1,1996,6,9,8,5,1996-06-09,161,24,1900-01-00,1/0/1900,112,49,190
CL:C-001-3:1,1996,6,21,5,0,1996-06-21,173,25,1900-01-00,1/0/1900,112,61,7
CL:C-001-3:1,1996,6,29,7,5,1996-06-29,181,26,1900-01-00,1/0/1900,112,69,128
CL:C-001-3:1,1997,5,20,8,33,1997-05-20,140,21,1900-01-00,1/0/1900,112,28,196
CL:C-001-3:1,1997,5,29,5,25,1997-05-29,149,22,1900-01-00,1/0/1900,112,37,21
CL:C-001-3:1,1997,6,9,9,31,1997-06-09,160,24,1900-01-00,1/0/1900,112,48,276
CL:C-001-3:1,1997,6,20,5,32,1997-06-20,171,25,1900-01-00,1/0/1900,112,59,39
CL:C-001-3:1,1997,6,30,9,20,1997-06-30,181,27,1900-01-00,1/0/1900,112,69,262
CL:C-001-3:1,1998,5,20,5,25,1998-05-20,140,21,1900-01-00,1/0/1900,112,28,8
CL:C-001-3:1,1998,5,29,8,55,1998-05-29,149,22,1900-01-00,1/0/1900,112,37,230
CL:C-001-3:1,1998,6,9,5,23,1998-06-09,160,24,1900-01-00,1/0/1900,112,48,28
CL:C-001-3:1,1998,6,19,8,40,1998-06-19,170,25,1900-01-00,1/0/1900,112,58,227
CL:C-001-3:1,1998,7,1,5,10,1998-07-01,182,27,1900-01-00,1/0/1900,112,70,12
CL:C-001-3:1,1999,5,19,5,39,1999-05-19,139,21,1900-01-00,1/0/1900,112,27,20
CL:C-001-3:1,1999,5,29,8,29,1999-05-29,149,22,1900-01-00,1/0/1900,112,37,204
CL:C-001-3:1,1999,6,7,5,22,1999-06-07,158,24,1900-01-00,1/0/1900,112,46,25
CL:C-001-3:1,1999,6,18,8,12,1999-06-18,169,25,1900-01-00,1/0/1900,112,57,199
